date,route,origin,destination,price_google,price_skyscanner,airline,escales,depart,retour,booking_url
2026-04-01 09:38,Montreal -> Miami,YUL,MIA,567,,Air Canada,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+MIA+on+2026-06-30+return+2026-07-07
2026-04-01 10:04,Montreal -> Paris,YUL,CDG,724,,Air Transat,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-01+return+2026-05-08
2026-04-01 10:04,Montreal -> Paris,YUL,CDG,671,,Air TransatPorter Airlines,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-05-31+return+2026-06-07
2026-04-01 10:04,Montreal -> Paris,YUL,CDG,1077,,Air FranceDelta,Direct,2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CDG+on+2026-06-30+return+2026-07-07
2026-04-01 10:04,Montreal -> Cancun,YUL,CUN,459,,United,2 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-01+return+2026-05-08
2026-04-01 10:05,Montreal -> Cancun,YUL,CUN,460,,Air Transat,Direct,2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-05-31+return+2026-06-07
2026-04-01 10:05,Montreal -> Cancun,YUL,CUN,554,,Aeromexico,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+CUN+on+2026-06-30+return+2026-07-07
2026-04-01 10:05,Montreal -> Tokyo Narita,YUL,NRT,1432,,United,1 escale(s),2026-05-01,2026-05-08,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-01+return+2026-05-08
2026-04-01 10:05,Montreal -> Tokyo Narita,YUL,NRT,1732,,Air Canada et United,1 escale(s),2026-05-31,2026-06-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-05-31+return+2026-06-07
2026-04-01 10:05,Montreal -> Tokyo Narita,YUL,NRT,1884,,Qatar Airways,1 escale(s),2026-06-30,2026-07-07,https://www.google.com/travel/flights?q=flights+from+YUL+to+NRT+on+2026-06-30+return+2026-07-07
